District,Region,Population,Health_Facilities,Doctors,Nurses,Hospital_Beds,Disease_Cases,Medicine_Stock,Emergency_Visits,Budget_Million_UGX,Resource_Need_Level
Wakiso,Western,137810,33,22,290,903,8474,69,289,2978,Low
Masaka,Eastern,330871,21,16,559,746,16126,100,1893,1522,High
Arua,Central,239945,30,84,332,563,13991,58,7402,4296,Medium
Gulu,Western,413856,7,69,57,35,1708,86,8384,4714,Low
Mbarara,Eastern,307613,62,32,462,692,32940,74,6540,4350,High
Arua,Northern,290717,48,55,163,434,23277,43,2226,316,Medium
Wakiso,Western,501664,25,19,106,701,25461,95,8389,5693,High
Arua,Northern,776333,42,16,490,209,10824,57,7404,229,High
Arua,Western,394904,75,87,270,55,20786,53,5942,1698,Medium
Kampala,Western,450164,15,126,305,534,43492,52,4166,4334,High
Kampala,Central,327000,16,41,429,620,3230,65,468,2654,Low
Arua,Northern,138586,79,140,178,693,47423,90,9874,3390,High
Jinja,Eastern,206723,41,190,168,64,47358,97,8504,5339,High
Mbale,Northern,599199,69,Twenty,36,866,45488,77,3867,897,High
Kampala,Central,189558,51,31,405,875,30082,75,931,5342,High
Kampala,Northern,563062,38,5,487,836,5094,87,8340,7555,High
Masaka,Central,741325,72,21,505,278,5379,94,4450,2123,Low
Mbarara,Northern,825766,63,131,411,98,31892,98,4807,6483,High
Kampala,Northern,131235,23,89,280,687,49207,84,5087,5288,High
Kabale,Northern,63074,66,20,517,295,44540,46,3666,5735,High
Lira,Western,793305,71,78,495,497,31062,89,2041,7520,High
Masaka,Northern,376814,15,126,37,316,30579,44,8400,,High
Arua,Eastern,270030,31,24,112,165,49487,73,4389,3145,High
Gulu,Western,168150,51,64,529,939,32359,65,506,1503,High
Kampala,Eastern,764696,62,108,329,764,9721,66,5735,3281,Low
Jinja,Central,397418,5,88,366,879,26600,47,3307,6041,Medium
Kampala,Western,315512,52,21,422,419,39112,44,6009,7781,High
Mbale,Western,100612,40,31,72,874,43883,58,2539,2242,High
Arua,Eastern,585783,45,53,402,823,28532,96,575,6851,Medium
Mbale,Northern,804526,15,17,440,481,40799,88,2370,5479,High
Arua,Eastern,101356,75,37,194,503,27688,61,4716,2639,Medium
Arua,Western,475941,35,82,514,590,44335,65,2061,1570,High
Gulu,Central,267970,69,132,583,245,30186,98,5553,6419,High
Lira,Eastern,196377,75,54,269,112,11948,61,9207,946,Low
Jinja,Northern,436196,38,150,226,928,1816,87,6863,3336,Low
Mbale,Northern,445172,39,91,83,530,18687,76,6000,1231,Medium
Masaka,Northern,147096,39,68,413,429,42822,68,7175,2756,High
Kampala,Northern,83809,59,186,504,621,32601,40,1298,3407,High
Masaka,Eastern,520758,36,32,249,178,10465,73,1884,7912,Low
Lira,Central,628290,10,5,148,258,37815,98,715,5487,High
Arua,Northern,706904,37,140,467,735,7848,46,1252,2660,Low
Masaka,Northern,456933,38,62,21,30,35724,59,7647,2482,High
Jinja,Northern,548392,72,65,580,272,2418,66,5136,UGX450,Low
Kampala,Northern,572516,58,25,283,253,44235,67,6165,2057,High
Lira,Central,779623,48,188,450,391,45232,65,3345,255,High
Arua,Central,265187,68,56,339,804,13209,54,7720,2014,Medium
Arua,Western,164303,68,161,211,937,15135,71,6932,7657,Medium
Kampala,Northern,462572,11,59,44,630,9800,66,949,6015,Low
Kampala,Northern,462427,62,187,341,770,7919,45,2813,2897,Low
Mbarara,Northern,734162,72,196,498,52,20935,82,6303,7074,Medium
Jinja,Western,513926,26,32,22,100,18837,45,5858,3642,Medium
Wakiso,Northern,448594,50,84,462,109,3728,85,7857,1803,Low
Jinja,Eastern,252402,46,98,505,51,41896,66,4163,6850,High
Mbale,Central,443811,9,123,84,842,4563,56,3293,6321,Low
Wakiso,Western,430606,39,90,64,288,49418,85,5285,7771,High
Arua,Western,53954,13,11,259,129,31641,85,7730,6559,High
Mbale,Western,500822,68,38,528,207,1070,91,5069,6940,Low
Gulu,Northern,393723,45,122,390,822,39540,45,8486,1816,High
Mbale,Northern,309320,57,21,54,513,36714,74,5437,1516,High
Mbale,Central,125670,38,164,106,233,6819,66,8267,6014,Low
Lira,Northern,295572,22,111,491,655,44678,55,8923,7138,High
Wakiso,Western,358052,40,150,294,401,17149,87,4365,1831,Medium
Lira,Northern,244758,36,65,177,308,38398,52,5446,730,High
Mbale,Western,307896,69,139,256,685,7089,81,7700,503,Low
Wakiso,Central,547824,34,119,402,61,19746,150,2053,612,Medium
Mbarara,Northern,128765,52,136,202,479,40020,56,203,1066,High
Kabale,Western,278217,9,99,368,164,3394,53,4276,513,Low
Kabale,Northern,61932,46,109,400,209,41198,59,1376,1866,High
Kampala,Eastern,624666,66,21,437,123,26406,82,9113,1466,Medium
Masaka,Central,734781,25,106,297,439,19066,82,5139,3622,Medium
Kampala,Western,831543,77,96,444,446,1693,95,6060,5479,Low
Mbarara,Eastern,813396,56,57,26,464,10760,67,1960,6920,Low
Wakiso,Eastern,655862,51,122,186,153,1472,43,9136,1367,Low
Mbale,Central,650691,52,193,536,195,10060,62,4741,1525,Low
Masaka,Northern,120356,18,103,522,791,13432,59,2175,7059,Medium
Kampala,Eastern,379804,11,160,417,108,47181,,2725,5445,High
Mbarara,Eastern,694590,30,126,207,598,14795,42,6649,7888,Medium
Masaka,Northern,452208,50,36,173,272,48005,92,3255,536,High
Masaka,Central,750340,46,35,419,633,30366,75,5117,5516,High
Mbale,Western,660926,36,113,418,694,24581,68,8350,3790,Medium
Gulu,Central,53678,67,124,260,477,41038,89,7608,7052,High
Gulu,Eastern,469789,18,22,151,387,28719,63,1602,6772,Medium
Lira,Central,92626,21,26,341,816,47711,72,1410,644,High
Masaka,Eastern,734453,22,11,87,648,48477,84,1895,1786,High
Gulu,Eastern,351865,26,180,246,87,23496,79,4232,1500,Medium
Jinja,Western,528573,23,70,534,961,31964,53,9797,2353,High
Kabale,Northern,384577,52,14,223,206,26941,50,4657,5767,High
Jinja,Eastern,226938,38,34,563,69,42201,94,5994,7351,High
Lira,Central,314274,73,166,423,775,24844,56,6256,3222,Medium
Kabale,Northern,427750,47,200,103,150 Beds,15576,51,891,2627,Medium
Masaka,Western,375134,79,174,340,770,617,87,653,2015,Low
Gulu,Western,695977,60,111,544,392,3631,48,8101,2061,Low
Kabale,Central,73372,11,5,600,383,20405,46,8670,3125,High
Masaka,Northern,483311,79,82,156,229,24501,79,7880,1499,Medium
Gulu,Central,890436,36,186,172,481,6778,44,2470,7337,Low
Arua,Eastern,327075,6,19,595,934,23459,78,9577,3835,High
Kabale,Eastern,310568,26,5,65,83,35334,41,6751,1720,High
Mbarara,Northern,111215,18,8,584,692,13427,49,6869,1834,High
Masaka,Eastern,692969,27,135,336,85,20178,80,894,7485,Medium
Lira,Central,443382,60,195,496,102,49111,81,7513,1636,High
Mbarara,Central,324125,34,169,59,146,22488,97,4413,6030,Medium
Kampala,Western,716753,75,178,466,722,34791,56,4943,5459,High
Mbarara,Central,582077,6,48,286,946,15973,93,3422,7938,Medium
Gulu,Western,251260,54,89,264,408,41833,98,8887,4046,High
Lira,Central,77804,60,190,259,604,20668,90,3572,3407,Medium
Kabale,Central,642659,26,42,53,47,7833,46,2751,3025,Low
Gulu,Central,82369,10,40,63,733,4945,87,864,738,Low
Kabale,Western,258993,73,175,87,920,47112,100,6388,1077,High
Mbarara,Northern,263029,19,13,55,992,49898,80,1533,6958,High
Arua,Eastern,154728,21,30,229,321,21415,61,7042,2339,Medium
Kampala,Western,319171,41,17,396,952,21525,89,9963,4326,High
Lira,Western,698309,8,110,51,466,34488,89,1710,3040,High
Lira,Central,614008,77,60,113,608,19316,50,7244,210,Medium
Masaka,Northern,352340,11,6,376,522,6771,71,3123,4251,High
Kabale,Western,590163,38,152,182,310,14571,100,3893,4282,Medium
Gulu,Central,717451,15,130,594,825,7352,80,5451,3113,Low
Wakiso,Eastern,463767,16,113,45,400,14008,59,4412,3706,Medium
Masaka,Northern,447730,34,122,149,564,39434,88,655,3054,High
Kabale,Western,597075,24,120,587,779,21690,50,7688,3794,Medium
Arua,Northern,182180,47,123,263,539,13054,57,5039,6382,Medium
Kabale,Northern,808472,24,68,354,637,34721,62,2736,2135,High
Jinja,Northern,321254,18,47,124,220,25681,49,2530,6711,Medium
Arua,Western,506049,40,55,131,673,7503,57,3482,7451,Low
Mbale,Eastern,85579,6,107,467,730,15078,72,4953,3995,Medium
Kampala,Northern,319707,56,6,268,949,28682,84,9504,5012,High
Mbale,Northern,750339,79,63,205,676,8640,69,7186,2764,Low
Arua,Central,489961,36,107,180,276,28259,70,7557,361,Medium
Kabale,Eastern,593426,28,172,355,816,1196,64,8125,7639,Low
Wakiso,Central,313426,74,60,184,753,13594,73,5805,1028,Medium
Kabale,Eastern,617316,31,188,507,544,1555,80,6160,4473,Low
Jinja,Eastern,828158,63,58,208,421,34171,88,2105,6172,High
Kabale,Western,718539,12,69,300,411,26693,43,318,815,Medium
Mbale,Eastern,709097,50,153,291,131,15208,59,6661,7899,Medium
Masaka,Northern,890420,55,123,237,188,8973,99,1228,6832,Low
Mbarara,Eastern,723394,76,189,251,854,10085,62,6871,4034,Low
Arua,Northern,867728,65,95,255,293,46650,64,4254,3690,High
Gulu,Eastern,52825,40,96,270,690,20280,60,7956,4172,Medium
Mbale,Central,741288,51,44,330,894,25738,43,1497,6982,Medium
Kabale,Western,872123,22,140,373,668,38671,40,288,1918,High
Wakiso,Western,312171,17,153,166,894,15811,51,7504,3038,Medium
Gulu,Northern,472035,73,47,112,704,36446,90,4966,1816,High
Lira,Northern,606579,15,194,469,707,8166,75,2040,2366,Low
Mbale,Northern,196106,65,131,590,79,32243,69,2466,5937,High
Lira,Northern,572375,26,143,26,184,21516,69,9317,4276,Medium
Arua,Eastern,443171,59,112,97,204,42249,63,567,368,High
Kabale,Central,765745,47,29,542,515,32263,88,2467,477,High
Mbarara,Eastern,705651,21,91,116,902,43689,63,5692,4087,High
Masaka,Northern,347953,60,92,452,277,36808,43,4837,2599,High
Jinja,Eastern,473341,47,133,298,913,33689,62,3434,5562,High
Lira,Central,396969,29,86,326,150,38933,80,1534,6624,High
Kampala,Eastern,807781,75,108,578,607,3757,65,5021,1088,Low
Kampala,Central,249167,65,160,81,827,33323,98,9007,5211,High
Mbale,Northern,707262,15,59,60,703,42023,69,2949,1030,High
Gulu,Central,492049,17,172,33,397,9589,90,5168,4804,Low
Arua,Western,243752,58,13,346,40,28724,76,9574,7850,High
Kampala,Eastern,645074,71,15,141,812,28095,76,6729,3857,High
Wakiso,Central,762992,54,157,179,506,27528,75,1771,879,Medium
Lira,Northern,209136,6,114,24,29,45310,82,2093,7232,High
Wakiso,Northern,177242,21,125,38,302,47643,76,4069,3892,High
Gulu,Central,433646,23,191,106,320,41697,75,8260,3973,High
Arua,Central,802049,9,7,82,35,43144,83,1405,3386,High
Arua,Western,814875,26,129,81,343,24588,100,9520,6161,Medium
Lira,Eastern,759759,26,42,139,391,42763,50,6947,4107,High
Mbale,Eastern,335192,77,90,319,306,4473,79,9928,2920,Low
Kabale,Central,208461,44,154,458,929,16629,64,6446,5810,Medium
Mbale,Northern,896705,62,77,21,349,17738,57,7022,1488,Medium
Kabale,Central,352536,23,151,170,300,36403,83,8291,3041,High
Masaka,Central,616211,75,129,410,225,49664,86,3934,2735,High
Kabale,Central,760580,55,124,231,968,17194,77,253,6685,Medium
Mbale,Eastern,616820,16,142,383,810,4604,54,6623,4948,Low
Masaka,Western,597208,46,127,538,623,13729,52,3584,1775,Medium
Wakiso,Northern,895010,42,97,597,387,26877,89,8574,7220,Medium
Gulu,Northern,96760,68,100,128,400,41967,69,1439,1479,High
Jinja,Central,411676,40,137,41,116,2700,53,9364,4183,Low
Kabale,Northern,324304,40,114,119,989,29785,89,9817,6907,Medium
Kabale,Northern,316333,9,91,225,205,25285,45,550,617,Medium
Kampala,Western,789844,63,129,85,903,39694,80,6610,7754,High
Wakiso,Central,319687,45,149,258,676,6384,98,8398,3420,Low
Gulu,Eastern,217487,52,65,247,196,3031,100,4292,7910,Low
Jinja,Central,629689,8,17,284,825,34141,85,8020,656,High
Wakiso,Northern,383114,5,55,325,623,39262,68,1827,4056,High
Jinja,Western,319495,54,36,403,512,25380,50,7331,2153,Medium
Gulu,Central,540626,29,14,180,969,14954,44,6212,7480,High
Gulu,Eastern,151698,54,10,96,483,22767,60,3931,4111,High
Wakiso,Western,199702,47,61,78,204,47274,68,9166,7485,High
Gulu,Eastern,206648,39,112,441,272,10703,41,4541,4877,Low
Arua,Western,893206,26,71,522,131,21344,69,8004,1135,Medium
Gulu,Central,711652,32,148,508,875,19258,47,4323,6383,Medium
Mbarara,Western,503047,38,66,263,119,26068,58,6909,7541,Medium
Gulu,Central,811762,42,41,36,472,33778,61,8468,1348,High
Lira,Central,877918,72,78,210,388,29024,42,6800,1988,Medium
Arua,Northern,194781,28,138,255,748,12009,52,9941,849,Medium
Wakiso,Eastern,848259,40,49,230,160,40636,82,3248,4975,High
Arua,Northern,60523,13,182,552,437,47794,98,1007,4447,High
Jinja,Western,345444,68,28,35,439,31735,48,4462,2234,High
Gulu,Western,88452,25,184,400,608,39487,94,176,3117,High
Masaka,Eastern,590672,14,35,385,751,16538,92,5358,6582,Medium
Mbale,Central,355703,18,192,526,477,34140,41,8791,6790,High
Masaka,Northern,71692,36,27,249,653,12453,50,1782,2755,Medium
Arua,Central,70396,17,183,219,287,1659,93,9920,5416,Low
Kabale,Eastern,598312,35,184,474,125,23483,95,1638,6074,Medium
Gulu,Central,336274,20,124,525,619,33317,88,4681,1101,High
Wakiso,Central,475355,22,143,252,901,15378,49,9485,3985,Medium
Mbale,Northern,69407,54,182,450,631,40004,73,693,3441,High
Kampala,Western,404993,56,66,363,752,29046,93,9347,6789,Medium
Jinja,Eastern,638335,11,88,549,170,45075,99,5890,2242,High
Mbale,Central,432134,18,140,211,90,21756,67,3389,4335,Medium
Kampala,Northern,196178,58,106,484,668,3564,91,759,481,Low
Kabale,Western,761394,39,165,575,845,2844,79,1746,2252,Low
Wakiso,Central,504758,35,15,314,135,20515,62,2835,1186,High
Kampala,Western,138577,64,156,566,974,10226,68,2130,4391,Low
Gulu,Western,476292,78,78,300,269,48729,45,9050,2552,High
Lira,Northern,731949,54,56,581,747,24539,69,9078,2687,Medium
Kabale,Eastern,541746,44,12,268,361,15021,52,8495,4672,High
Mbale,Eastern,62455,50,46,264,351,36980,60,8151,2411,High
Arua,Northern,359858,12,10,182,584,4877,78,5801,3804,High
Kampala,Eastern,511265,50,193,131,553,15256,83,2631,3614,Medium
Jinja,Western,197143,30,162,303,860,34432,46,7886,2401,High
Gulu,Eastern,158377,5,110,583,619,8197,71,6612,4885,Low
Gulu,Eastern,871754,40,164,133,408,30140,84,7602,2559,High
Jinja,Western,420098,55,139,588,629,25698,81,5375,255,Medium
Lira,Eastern,515600,43,52,569,331,10002,67,9527,3288,Low
Kabale,Northern,142201,47,87,268,353,13889,67,275,409,Medium
Kampala,Western,642376,68,81,569,812,20974,74,7262,4438,Medium
Masaka,Eastern,458438,64,96,61,628,44817,62,7523,7965,High
Kampala,Central,600762,34,30,439,403,33327,65,9296,7805,High
Kabale,Northern,247356,58,129,431,470,41434,97,9724,3012,High
Masaka,Central,229015,51,86,395,96,20857,72,2976,1105,Medium
Arua,Western,583599,58,166,180,556,19500,92,8482,1902,Medium
Masaka,Northern,482285,28,20,598,637,7487,62,9436,5371,Low
Kampala,Eastern,61255,5,83,586,24,20452,65,1713,5002,Medium
Kampala,Central,256202,27,132,586,600,17933,95,8807,4413,Medium
Gulu,Northern,481070,20,42,180,550,33889,46,575,1020,High
Wakiso,Northern,597875,67,124,460,845,4570,81,304,5807,Low
Kabale,Western,200918,35,95,302,193,2655,57,1729,7239,Low
Kabale,Central,415841,29,120,414,40,4083,54,6587,4973,Low
Kampala,Eastern,107235,35,68,248,65,10946,99,9717,7201,Low
Gulu,Western,56462,63,82,448,637,17012,96,8219,7980,Medium
Wakiso,Northern,760181,54,177,246,443,20760,65,8036,383,Medium
Mbarara,Central,231893,26,96,408,211,1000,96,4862,3444,Low
Masaka,Western,170467,47,141,414,363,26923,81,1172,1209,Medium
Mbale,Western,630744,36,104,215,498,19085,62,3985,3768,Medium
Kampala,Western,746542,8,92,179,267,46759,48,1617,1808,High
Arua,Northern,631934,61,124,265,183,24611,62,3646,6118,Medium
Mbale,Eastern,709914,79,58,324,993,31692,72,3449,2061,High
Lira,Northern,790790,38,157,470,621,24616,74,4134,3510,Medium
Kabale,Northern,181613,20,178,545,113,36059,94,4530,6228,High
Mbale,Central,739461,77,42,338,35,26054,85,1509,5890,Medium
Gulu,Northern,386631,29,174,131,89,37330,98,6022,6796,High
Masaka,Western,252190,13,188,338,110,15338,58,2166,6891,Medium
Mbale,Western,423186,56,123,155,979,18622,51,584,3203,Medium
Jinja,Eastern,76490,64,68,430,380,41710,46,3076,2587,High
Wakiso,Western,688495,33,187,61,434,3121,78,2754,3728,Low
Mbarara,Western,213776,53,194,60,585,20876,80,3043,4824,Medium
Mbarara,Eastern,801445,71,70,465,706,45348,76,5818,7865,High
Kampala,Central,850801,41,15,68,270,45134,47,708,6683,High
Jinja,Northern,864869,49,196,108,447,46026,87,6549,6324,High
Kabale,Northern,344823,72,28,377,989,28285,68,5675,5865,Medium
Masaka,Eastern,583366,11,178,230,458,44613,72,2191,4210,High
Mbarara,Central,786876,76,71,198,579,11227,89,3966,4655,Low
Arua,Northern,112267,26,96,375,441,6564,52,5188,1323,Low
Gulu,Eastern,752896,66,65,267,26,34276,84,7391,1290,High
Jinja,Western,189879,23,155,596,266,22360,80,2032,4691,Medium
Mbale,Northern,759912,24,158,492,879,27114,93,3480,1137,Medium
Arua,Central,427991,67,57,64,81,18907,59,3329,1105,Medium
Arua,Eastern,168476,25,88,475,499,37802,63,4843,1577,High
Masaka,Central,97794,6,124,517,105,49474,85,5534,6253,High
Kabale,Western,164087,67,116,520,214,36090,60,236,3143,High
Wakiso,Western,708237,37,172,271,100,9586,87,553,407,Low
Mbale,Northern,360709,52,52,558,886,45200,50,1774,6627,High
Arua,Western,447804,28,170,384,347,15588,63,2333,4714,Medium
Jinja,Western,301007,12,15,129,600,41670,98,6706,7615,High
Kampala,Northern,568394,59,132,181,326,39993,77,1414,1362,High
Mbarara,Northern,195018,61,168,431,111,3117,94,7300,4127,Low
Mbarara,Northern,808068,52,5,52,881,40525,94,8476,3685,High
Gulu,Western,125491,12,136,451,931,22694,44,7287,272,Medium
Gulu,Northern,447224,42,6,473,843,37421,83,5803,4849,High
Mbarara,Eastern,139172,74,87,549,491,28573,74,2629,3487,Medium
Kabale,Central,899026,12,190,359,643,43651,59,9357,4878,High
Mbale,Western,554084,22,81,371,563,42033,41,3194,2022,High
Lira,Central,204054,79,100,588,614,27787,63,8783,2168,Medium
Kabale,Eastern,465595,38,34,252,204,13792,75,1939,2012,Medium
Arua,Central,246650,72,176,277,746,32565,54,9177,3953,High
Mbarara,Central,821318,70,155,600,102,27240,83,1303,6756,Medium
Lira,Northern,577570,75,134,137,661,47790,72,1772,3968,High
Mbale,Northern,250954,77,126,115,160,24968,89,1042,3512,Medium
Mbarara,Central,440434,10,8,238,490,20156,47,2321,3689,High
Wakiso,Northern,640305,19,191,383,192,24550,87,5693,6787,Medium
Kampala,Western,178683,35,100,545,774,34887,100,5948,6112,High
Lira,Central,683124,50,30,384,582,21954,91,9980,1125,Medium
Kampala,Northern,316969,50,54,477,41,38600,68,1960,6681,High
Kampala,Eastern,165780,14,71,209,173,36823,99,4851,7357,High
Mbale,Northern,666893,37,142,295,991,29603,40,505,3004,Medium
Gulu,Eastern,576149,66,13,56,96,12446,79,9929,3415,High
Lira,Northern,776578,62,105,254,913,40532,73,1343,3156,High
Jinja,Northern,376376,21,155,64,236,11623,92,6014,6157,Low
Lira,Western,655072,64,104,382,341,892,61,9588,4160,Low
Jinja,Northern,71508,36,122,66,666,10057,86,2453,2433,Low
Mbale,Western,116566,69,72,385,602,38086,73,9675,1339,High
Kampala,Central,258922,59,167,121,391,18953,90,4000,7350,Medium
Gulu,Central,368762,48,194,391,541,42129,55,5841,7350,High
Masaka,Eastern,400672,12,185,365,707,21681,96,7988,4326,Medium
Jinja,Northern,898526,35,94,174,158,13958,40,7524,3517,Medium
Lira,Eastern,646353,43,48,87,167,20258,86,5154,2265,Medium
Kabale,Western,127070,29,154,101,618,12214,59,9610,3095,Medium
Lira,Western,862057,59,189,89,878,32253,60,2971,2459,High
Arua,Central,845336,26,165,294,262,46663,41,3676,590,High
Mbale,Eastern,260079,41,133,121,221,16342,86,1030,1256,Medium
Kabale,Central,133160,14,152,369,756,9456,40,3183,2417,Low
Masaka,Central,720975,46,12,237,349,21913,95,543,5516,High
Lira,Eastern,689407,48,49,78,904,27649,90,844,914,Medium
Kabale,Western,863653,68,158,429,283,30867,95,322,410,High
Jinja,Western,108738,58,162,357,180,6624,41,2659,1924,Low
Gulu,Central,425227,51,113,372,571,45074,77,9193,1456,High
Kabale,Western,291175,38,187,509,801,2573,89,5166,5538,Low
Masaka,Eastern,636468,40,97,555,562,18452,48,4243,274,Medium
Masaka,Eastern,154638,51,43,253,430,6392,99,557,5316,Low
Gulu,Central,113088,74,133,229,588,12415,56,6090,6242,Medium
Gulu,Northern,823583,25,140,49,379,47006,55,7334,7243,High
Lira,Northern,717026,49,104,491,237,21722,90,533,1083,Medium
Kampala,Central,895940,56,177,379,81,15449,76,6260,3558,Medium
Mbale,Northern,82198,37,10,288,746,28929,55,3890,3102,High
Mbarara,Western,846044,59,169,305,325,33176,53,9431,6678,High
Gulu,Eastern,856566,39,197,159,862,20166,58,1548,2915,Medium
Kampala,Eastern,311863,25,86,483,237,38460,43,3537,7174,High
Jinja,Central,867695,61,51,465,904,9661,99,4975,5812,Low
Kampala,Central,209307,6,39,329,174,33440,87,5861,999,High
Gulu,Eastern,765935,55,28,444,367,42584,98,6599,7424,High
Jinja,Central,663704,35,56,35,58,9336,72,9851,2097,Low
Kabale,Eastern,782350,18,191,40,69,21241,44,1907,1186,Medium
Lira,Northern,600938,59,5,203,249,45417,74,2523,5387,High
Masaka,Central,605673,50,132,99,377,14599,94,3769,6191,Medium
Wakiso,Western,787759,27,8,290,295,5016,42,3318,4367,High
Kampala,Eastern,877870,76,97,293,30,21845,84,778,5550,Medium
Lira,Western,625469,47,181,440,915,49341,85,4500,3470,High
Mbale,Western,616227,58,103,174,416,25758,96,6816,6784,Medium
Gulu,Central,300705,69,70,406,266,13503,82,2003,911,Medium
Kabale,Central,801211,11,108,591,352,45382,81,7348,4696,High
Jinja,Eastern,655769,5,126,501,542,22936,77,9048,3312,Medium
Mbarara,Eastern,422457,13,105,558,292,40661,82,5377,789,High
Masaka,Northern,692271,38,72,504,898,47788,62,8653,5029,High
Lira,Northern,198991,13,198,561,392,34836,53,8742,1585,High
Jinja,Northern,756407,27,44,491,201,42477,100,808,2837,High
Mbale,Western,498855,20,109,177,739,16981,64,1784,3188,Medium
Jinja,Western,524800,16,75,425,317,29742,84,1931,3880,Medium
Lira,Northern,845662,71,43,26,716,9053,63,8108,4465,Low
Mbarara,Western,598810,48,102,278,38,36951,52,113,4873,High
Arua,Central,669279,27,83,577,301,21734,56,4062,2374,Medium
Lira,Central,600687,68,27,226,151,28231,90,4858,5261,Medium
Jinja,Central,802252,61,101,395,62,47196,88,4937,3541,High
Mbale,Western,419468,35,103,152,967,41037,52,9606,3250,High
Wakiso,Northern,395453,14,25,476,408,26272,73,6894,4268,Medium
Kampala,Central,671571,77,123,493,737,29081,66,7859,1643,Medium
Wakiso,Eastern,466929,67,39,544,790,1123,82,3907,6265,Low
Mbarara,Eastern,617977,10,179,321,587,22136,89,6448,6506,Medium
Lira,Central,144426,33,24,35,124,33067,45,3632,4823,High
Lira,Central,764061,30,187,363,514,4089,75,6947,7110,Low
Kabale,Northern,476717,11,165,169,348,22411,52,8590,249,Medium
Gulu,Western,595270,38,27,340,412,17213,82,4995,4752,Medium
Mbale,Eastern,764146,11,83,331,274,25418,91,7245,7217,Medium
Masaka,Western,369781,30,38,73,232,35682,81,6224,7838,High
Lira,Eastern,794357,79,41,394,972,22897,52,7578,7731,Medium
Masaka,Central,814684,45,7,565,89,27299,100,9355,6945,High
Jinja,Central,336845,33,117,318,225,47067,53,9800,5203,High
Lira,Eastern,813161,61,57,228,79,12305,67,2139,601,Medium
Gulu,Central,675249,68,51,34,964,47769,75,2789,4281,High
Mbarara,Western,890883,32,141,182,169,47378,53,8557,1026,High
Lira,Central,261421,16,17,444,249,43680,93,4320,5985,High
Lira,Eastern,212358,12,183,156,62,10995,93,7412,2605,Low
